BaseCase,RA,RASDG,Year,indicator,Country/Region
42.2,82.75,83.68,2060,Renewable_Share,Europe & North America
6.307,6.307,6.307,2020,Renewable_Share,High Income Countries
6.536,6.536,6.536,2021,Renewable_Share,High Income Countries
6.88,6.88,6.88,2022,Renewable_Share,High Income Countries
7.21,7.21,7.21,2023,Renewable_Share,High Income Countries
7.663,7.663,7.663,2024,Renewable_Share,High Income Countries
8.181,8.181,8.181,2025,Renewable_Share,High Income Countries
8.697,8.834,8.834,2026,Renewable_Share,High Income Countries
9.24,9.718,9.715,2027,Renewable_Share,High Income Countries
9.792,10.75,10.74,2028,Renewable_Share,High Income Countries
10.34,11.97,11.96,2029,Renewable_Share,High Income Countries
10.88,13.4,13.39,2030,Renewable_Share,High Income Countries
11.46,14.87,14.89,2031,Renewable_Share,High Income Countries
12.07,16.44,16.51,2032,Renewable_Share,High Income Countries
12.72,18.24,18.37,2033,Renewable_Share,High Income Countries
13.41,20.23,20.47,2034,Renewable_Share,High Income Countries
14.15,22.56,22.92,2035,Renewable_Share,High Income Countries
14.95,25.05,25.56,2036,Renewable_Share,High Income Countries
15.8,27.86,28.52,2037,Renewable_Share,High Income Countries
16.68,30.69,31.44,2038,Renewable_Share,High Income Countries
17.57,33.82,34.71,2039,Renewable_Share,High Income Countries
18.47,36.96,37.9,2040,Renewable_Share,High Income Countries
19.38,40.3,41.34,2041,Renewable_Share,High Income Countries
20.32,43.68,44.73,2042,Renewable_Share,High Income Countries
21.29,47.17,48.33,2043,Renewable_Share,High Income Countries
22.31,50.5,51.7,2044,Renewable_Share,High Income Countries
23.36,53.7,54.99,2045,Renewable_Share,High Income Countries
24.48,56.71,57.98,2046,Renewable_Share,High Income Countries
25.65,59.68,61,2047,Renewable_Share,High Income Countries
26.89,62.28,63.23,2048,Renewable_Share,High Income Countries
28.15,64.7,66.02,2049,Renewable_Share,High Income Countries
29.29,67.1,68.08,2050,Renewable_Share,High Income Countries
30.47,69.18,70.46,2051,Renewable_Share,High Income Countries
31.71,71.28,72.29,2052,Renewable_Share,High Income Countries
32.98,73.11,74.39,2053,Renewable_Share,High Income Countries
34.29,75.01,76,2054,Renewable_Share,High Income Countries
35.63,76.61,77.85,2055,Renewable_Share,High Income Countries
37.02,78.27,79.21,2056,Renewable_Share,High Income Countries
38.45,79.66,80.85,2057,Renewable_Share,High Income Countries
